datetime,open,close,high,low,volume
2017-08-14,21.77,21.77,22.5,21.1,748213.0
2017-08-15,21.63,21.84,21.99,21.58,328936.0
2017-08-16,21.84,22.43,22.77,21.68,680238.0
2017-08-17,22.53,22.95,23.07,22.43,619141.0
2017-08-18,22.77,23.25,23.25,22.58,492437.0
2017-08-21,23.5,23.03,23.79,22.89,470154.0
2017-08-22,22.97,22.87,23.13,22.68,304179.0
2017-08-23,22.81,22.86,23.15,22.73,229806.0
2017-08-24,22.65,22.82,23.05,22.58,263509.0
2017-08-25,22.93,22.91,23.52,22.8,635855.0
2017-08-28,22.98,23.69,23.89,22.78,988685.0
2017-08-29,23.5,23.72,23.89,23.46,511010.0
2017-08-30,23.69,24.03,24.33,23.61,708298.0
2017-08-31,23.99,23.86,24.32,23.43,598156.0
2017-09-01,23.87,23.68,23.95,23.46,398395.0
2017-09-04,23.68,24.39,24.5,23.4,823453.0
2017-09-05,24.29,24.36,24.65,24.19,490240.0
2017-09-06,24.28,24.95,24.99,24.19,708125.0
2017-09-07,25.0,24.46,25.0,24.38,495669.0
2017-09-08,24.69,25.35,25.38,24.64,784421.0
2017-09-11,25.37,25.3,25.88,25.02,781792.0
2017-09-12,25.19,24.94,25.37,24.67,582129.0
2017-09-13,24.91,24.93,25.08,24.71,296931.0
2017-09-14,24.93,24.55,25.06,24.44,423659.0
2017-09-15,24.65,24.62,24.97,24.4,348328.0
2017-09-18,24.45,24.94,25.24,24.45,451933.0
2017-09-19,25.0,24.52,25.08,24.49,306081.0
2017-09-20,24.5,24.78,24.86,24.36,323134.0
2017-09-21,24.82,24.97,25.05,24.49,390299.0
2017-09-22,25.11,26.7,26.95,25.11,1265896.0
2017-09-25,27.1,26.25,27.5,26.1,1178396.0
2017-09-26,26.11,26.58,26.58,25.9,557812.0
2017-09-27,26.58,28.02,28.51,26.46,1287737.0
2017-09-28,28.0,28.15,28.45,27.51,812706.0
2017-09-29,28.18,28.3,29.45,28.02,1178050.0
2017-10-09,30.2,29.98,31.13,29.72,2061202.0
2017-10-10,29.7,30.1,30.2,29.05,1113335.0
2017-10-11,29.88,28.89,29.88,28.8,1011683.0
2017-10-12,28.95,29.17,29.55,28.81,690563.0
2017-10-13,28.9,29.5,29.82,28.62,737116.0
2017-10-16,29.44,30.45,31.35,29.33,1138673.0
2017-10-17,30.46,30.46,31.07,29.95,633315.0
2017-10-18,30.26,30.63,30.97,30.1,576650.0
2017-10-19,29.68,28.38,29.95,28.02,1537420.0
2017-10-20,28.01,28.66,28.79,27.77,735514.0
2017-10-23,28.44,28.49,28.77,28.23,535064.0
2017-10-24,28.38,27.72,28.38,27.19,944520.0
2017-10-25,27.69,28.27,28.3,27.59,524196.0
2017-10-26,28.55,30.0,30.48,28.53,1265956.0
2017-10-27,29.7,30.08,30.21,29.56,689567.0
2017-10-30,30.32,31.5,31.7,30.02,1274930.0
2017-10-31,31.44,32.29,32.76,31.11,1044986.0
2017-11-01,32.3,31.58,32.68,31.5,803292.0
2017-11-02,31.49,32.12,32.15,30.71,731166.0
2017-11-03,31.88,32.75,32.84,31.81,972034.0
2017-11-06,32.71,34.0,34.07,32.31,883335.0
2017-11-07,34.09,33.65,34.3,33.02,769330.0
2017-11-08,33.91,32.81,34.1,32.6,966179.0
2017-11-09,32.75,34.94,34.98,32.42,1080137.0
2017-11-10,34.7,35.26,36.55,34.6,1185031.0
2017-11-13,35.2,36.59,37.22,35.03,1012163.0
2017-11-14,36.58,36.57,36.85,36.01,794591.0
2017-11-15,36.36,36.02,37.2,34.78,1189002.0
2017-11-16,35.82,37.9,38.04,35.1,1180641.0
2017-11-17,37.55,36.05,38.18,36.0,1149904.0
2017-11-20,35.98,39.25,39.25,35.7,1319336.0
2017-11-21,39.0,40.04,40.89,38.7,1523633.0
2017-11-22,39.93,40.15,41.39,39.2,1291216.0
2017-11-23,40.0,38.81,40.8,38.47,1280642.0
2017-11-24,38.61,38.18,39.85,37.78,1114019.0
2017-11-27,38.01,34.36,38.19,34.36,1683879.0
2017-11-28,34.0,35.52,35.57,33.91,1303678.0
2017-11-29,35.1,34.22,35.35,33.04,1320182.0
2017-11-30,33.49,33.08,34.21,32.52,1073624.0
2017-12-01,33.3,33.56,34.18,33.09,978512.0
2017-12-04,33.6,34.92,35.23,33.48,1166012.0
2017-12-05,34.38,34.02,35.17,33.2,1002789.0
2017-12-06,34.06,34.57,34.61,32.85,1000616.0
2017-12-07,34.37,33.86,34.64,33.79,622066.0
2017-12-08,33.66,35.31,35.77,33.58,1090148.0
2017-12-11,35.45,37.27,37.28,35.3,1322111.0
2017-12-12,37.02,37.09,37.68,36.82,948639.0
2017-12-13,36.84,38.1,38.28,36.78,1009666.0
2017-12-14,38.08,38.29,38.36,37.6,770649.0
2017-12-15,38.02,37.0,38.18,36.47,1041993.0
2017-12-18,36.5,34.97,37.15,34.63,1252095.0
2017-12-19,35.3,35.66,35.93,35.05,802285.0
2017-12-20,35.39,35.39,36.09,34.72,807314.0
2017-12-21,35.35,37.85,38.15,35.14,1413652.0
2017-12-22,37.86,38.07,38.17,37.51,1007140.0
2017-12-25,37.9,37.21,38.15,36.72,993572.0
2017-12-26,37.44,37.2,37.45,36.06,930080.0
2017-12-27,36.8,36.18,37.1,36.07,815866.0
2017-12-28,36.25,36.22,36.81,35.6,798084.0
2017-12-29,35.92,36.36,36.67,35.81,556510.0
2018-01-02,36.48,35.73,36.6,34.78,899607.0
2018-01-03,35.63,36.69,37.5,35.52,1391321.0
2018-01-04,36.37,36.9,36.95,35.88,948300.0
2018-01-05,36.7,36.04,36.78,35.87,760473.0
2018-01-08,36.0,35.57,36.02,34.92,1095769.0
2018-01-09,35.57,36.35,36.35,35.31,969156.0
2018-01-10,36.28,35.92,36.28,35.25,777371.0
2018-01-11,35.6,36.42,36.85,35.3,1112692.0
2018-01-12,36.19,35.82,36.28,35.61,646269.0
2018-01-15,35.71,36.41,37.32,35.03,1579330.0
2018-01-16,36.07,38.6,38.64,35.89,2073313.0
2018-01-17,38.9,36.98,38.9,36.6,1959538.0
2018-01-18,37.02,36.57,37.49,36.32,1032230.0
2018-01-19,36.57,36.49,37.36,36.37,797058.0
2018-01-22,36.5,36.43,36.61,35.1,1064079.0
2018-01-23,36.38,36.38,37.12,35.81,901600.0
2018-01-24,36.16,37.05,37.1,35.85,1123582.0
2018-01-25,36.94,36.06,36.94,36.03,795353.0
2018-01-26,35.7,35.0,36.04,35.0,1319820.0
2018-01-29,34.8,31.71,34.8,31.59,2322598.0
2018-01-30,31.22,31.1,31.94,30.68,1031760.0
2018-01-31,31.06,31.12,31.38,30.61,696402.0
2018-02-01,30.0,28.01,30.0,28.01,2050648.0
2018-02-02,29.0,28.82,29.36,28.5,1313932.0
2018-02-05,28.22,29.28,29.94,28.21,872541.0
2018-02-06,28.5,28.45,29.38,28.3,776433.0
2018-02-07,29.2,28.71,29.49,28.23,695313.0
2018-02-08,28.76,29.65,29.88,28.72,858400.0
2018-02-09,28.79,28.45,29.4,28.01,814982.0
2018-02-12,28.99,29.42,29.77,28.61,742885.0
2018-02-13,29.76,29.74,30.25,29.64,763613.0
2018-02-14,29.78,30.5,30.59,29.75,568732.0
2018-02-22,30.71,31.22,31.45,30.25,646542.0
2018-02-23,31.31,31.32,32.15,31.03,734002.0
2018-02-26,31.8,32.55,32.85,31.36,1181345.0
2018-02-27,33.0,32.37,33.1,32.21,909327.0
2018-02-28,31.97,32.24,32.67,31.63,698489.0
2018-03-01,31.93,32.35,32.68,31.85,583772.0
2018-03-02,32.02,31.52,32.5,31.5,594218.0
2018-03-05,31.8,32.15,32.38,31.68,492015.0
2018-03-06,32.3,33.3,33.68,32.3,1146695.0
2018-03-07,33.1,32.67,33.11,32.67,532887.0
2018-03-08,32.67,32.68,32.98,32.3,411377.0
2018-03-09,32.7,33.62,33.64,32.7,930709.0
2018-03-12,33.88,33.99,34.23,33.41,841626.0
2018-03-13,33.99,33.15,34.0,33.14,539480.0
2018-03-14,33.0,32.72,33.08,32.5,424090.0
2018-03-15,32.7,32.81,33.27,32.13,513498.0
2018-03-16,32.83,32.01,32.95,32.0,542377.0
2018-03-19,31.88,31.74,32.33,31.33,465493.0
2018-03-20,31.5,32.05,32.15,31.32,368440.0
2018-03-21,32.15,31.65,32.65,31.56,494711.0
2018-03-22,31.62,31.36,31.97,31.3,366068.0
2018-03-23,29.4,29.01,30.38,28.41,1083263.0
2018-03-26,28.4,29.49,29.68,28.3,691531.0
2018-03-27,30.05,30.43,30.65,30.05,633357.0
2018-03-28,29.87,29.62,30.28,29.61,399314.0
2018-03-29,29.94,29.84,30.12,28.75,490909.0
2018-03-30,29.9,30.15,30.45,29.73,469577.0
2018-04-02,30.38,30.82,31.3,30.16,670783.0
2018-04-03,30.2,30.09,30.37,29.76,481814.0
2018-04-04,30.2,29.99,30.5,29.82,402808.0
2018-04-09,29.6,29.96,30.3,29.1,397470.0
2018-04-10,29.98,30.7,30.79,29.73,536893.0
2018-04-11,30.85,31.64,31.86,30.84,716727.0
2018-04-12,31.5,31.2,31.94,31.17,383553.0
2018-04-13,31.59,31.2,31.8,31.06,236027.0
2018-04-16,31.2,31.31,31.45,30.41,376665.0
2018-06-13,28.18,28.18,28.18,28.18,14456.0
2018-06-14,25.36,25.36,25.36,25.36,4208.0
2018-06-15,22.82,22.82,22.82,22.82,8547.0
2018-06-19,20.54,20.54,20.54,20.54,9073.0
2018-06-20,18.49,18.49,18.49,18.49,19877.0
2018-06-21,16.64,16.64,16.64,16.64,34255.0
2018-06-22,14.98,14.98,14.98,14.98,82527.0
2018-06-25,13.48,13.48,14.17,13.48,5507680.0
2018-06-26,12.9,13.28,13.37,12.6,3048262.0
2018-06-27,13.11,12.85,13.34,12.73,2209075.0
2018-06-28,12.8,12.92,13.26,12.75,1948766.0
2018-06-29,13.07,13.03,13.12,12.41,2114445.0
2018-07-02,13.03,12.23,13.03,12.0,2491304.0
2018-07-03,12.15,13.45,13.45,12.02,2936656.0
2018-07-04,13.45,13.8,14.59,13.02,4756268.0
2018-07-05,13.5,13.0,13.77,12.73,2476527.0
2018-07-06,13.16,13.04,13.48,12.76,2031206.0
2018-07-09,13.15,13.1,13.19,12.8,1666442.0
2018-07-10,13.02,12.69,13.03,12.46,2068727.0
2018-07-11,12.24,12.1,12.34,11.85,1653742.0
2018-07-12,13.31,13.31,13.31,13.31,350821.0
2018-07-13,14.48,14.1,14.48,13.81,4419432.0
2018-07-16,14.68,15.51,15.51,14.48,2133778.0
2018-07-17,16.38,17.06,17.06,16.28,4217697.0
2018-07-18,17.56,16.53,17.56,16.06,3161499.0
2018-07-19,16.54,16.85,16.94,16.31,2213461.0
2018-07-20,16.82,16.52,16.83,16.33,1700386.0
